log_id,enrollment_id,week_number,videos_watched,quizzes_taken,quiz_avg_score,forum_posts,hours_spent
1,1,1,1,2,88.0,1,3.5
2,1,2,5,2,86.0,1,4.8
3,1,3,5,2,71.7,2,8.0
4,1,4,2,4,84.7,3,9.8
5,1,5,0,4,77.8,3,4.7
6,1,6,1,4,101.0,4,8.1
7,1,7,2,3,108.5,1,7.3
8,1,8,1,2,79.1,3,7.4
9,1,9,1,2,94.1,0,5.0
10,2,1,0,1,35.0,1,1.0
11,2,2,1,0,,0,0.0
12,2,3,0,1,38.4,0,2.7
13,2,4,2,0,,0,2.6
14,2,5,2,1,40.1,1,3.4
15,3,1,1,1,43.8,1,4.0
16,3,2,0,0,,0,2.8
17,3,3,2,0,,0,1.9
18,4,1,2,0,,0,1.7
19,4,2,1,1,40.5,0,3.1
20,5,1,0,0,,1,3.2
21,5,2,0,0,,1,3.1
22,6,1,0,0,,0,0.0
23,6,2,1,0,,1,4.2
24,6,3,1,0,,0,2.4
25,7,1,0,1,31.8,1,4.0
26,7,2,2,0,,1,2.8
27,7,3,1,1,32.7,1,2.1
28,8,1,1,1,37.4,0,5.4
29,8,2,2,0,,1,0.0
30,8,3,1,0,,1,2.0
31,9,1,5,3,91.7,1,7.4
32,9,2,4,0,,0,3.8
33,9,3,5,1,78.8,3,5.9
34,9,4,6,1,100.4,1,7.1
35,9,5,2,2,96.7,3,6.4
36,9,6,3,1,99.5,4,7.0
37,9,7,3,0,,3,5.0
38,9,8,3,0,,0,6.3
39,9,9,3,3,102.3,0,6.6
40,10,1,2,2,51.4,1,6.3
41,10,2,1,0,,1,6.0
42,10,3,2,2,67.0,2,3.4
43,10,4,2,2,75.6,1,6.4
44,10,5,1,2,58.4,1,1.7
45,10,6,1,0,,0,5.6
46,11,1,0,4,88.9,3,3.5
47,11,2,6,4,78.2,1,6.3
48,11,3,5,4,98.5,0,9.3
49,11,4,3,4,83.1,3,4.9
50,12,1,1,0,,0,2.9
51,12,2,2,2,57.2,0,7.0
52,12,3,1,2,61.4,2,3.5
53,12,4,0,1,54.8,2,1.5
54,12,5,3,2,64.6,2,6.0
55,12,6,3,0,,2,2.5
56,12,7,0,0,,1,5.9
57,13,1,0,2,91.8,4,5.1
58,13,2,6,1,89.4,1,3.4
59,13,3,4,2,88.9,3,5.4
60,13,4,3,3,116.3,2,4.5
61,13,5,4,0,,0,5.9
62,13,6,6,3,83.3,1,8.7
63,13,7,5,2,81.8,4,3.4
64,13,8,6,1,86.1,2,0.6
65,13,9,0,1,99.1,1,5.9
66,14,1,1,0,,0,3.0
67,14,2,0,1,41.5,0,2.6
68,15,1,1,2,95.3,2,5.1
69,15,2,6,4,95.4,4,3.5
70,15,3,6,0,,0,6.4
71,15,4,5,2,69.6,4,7.5
72,15,5,4,1,104.6,2,5.2
73,15,6,3,0,,3,5.9
74,15,7,0,4,106.0,2,3.6
75,15,8,3,0,,2,5.8
76,15,9,5,1,88.2,0,6.7
77,16,1,5,1,71.1,0,4.3
78,16,2,0,0,,0,6.5
79,16,3,1,2,77.8,1,5.1
80,16,4,2,3,79.2,3,7.8
81,16,5,2,0,,3,4.9
82,16,6,5,4,79.0,0,6.1
83,16,7,5,0,,2,3.3
84,16,8,4,0,,2,6.4
85,16,9,0,2,81.8,3,3.3
86,16,10,0,3,102.6,1,4.9
87,16,11,3,4,88.9,2,7.1
88,17,1,1,0,,0,4.8
89,18,1,2,1,34.7,0,2.7
90,18,2,0,0,,1,3.6
91,18,3,1,1,56.2,0,5.0
92,19,1,1,1,86.6,2,3.2
93,19,2,6,2,100.8,3,8.4
94,19,3,3,3,84.6,4,7.3
95,19,4,0,1,87.5,2,5.3
96,20,1,4,3,77.5,0,3.7
97,20,2,4,2,41.5,3,3.1
98,20,3,5,1,71.9,2,6.1
99,20,4,1,3,72.3,2,5.0
100,20,5,4,0,,1,7.1
101,20,6,4,1,61.8,1,3.9
102,20,7,4,1,78.7,3,5.6
103,20,8,3,1,75.6,0,4.9
104,20,9,5,1,83.9,2,1.6
105,21,1,3,1,35.5,0,1.2
106,21,2,2,1,60.7,1,3.2
107,21,3,2,1,42.3,0,3.6
108,21,4,1,1,55.8,1,4.1
109,21,5,1,0,,0,4.9
110,22,1,0,1,36.4,0,2.0
111,22,2,0,0,,0,3.4
112,22,3,0,1,36.1,0,4.3
113,23,1,1,2,84.6,3,7.7
114,23,2,4,0,,1,4.3
115,23,3,0,1,80.7,3,6.3
116,23,4,1,3,65.0,0,6.8
117,24,1,4,3,92.2,1,8.1
118,24,2,6,3,85.7,2,3.2
119,24,3,6,4,81.3,0,4.6
120,24,4,6,1,93.5,0,5.2
121,24,5,3,2,110.0,1,9.3
122,24,6,0,4,90.6,4,6.2
123,24,7,5,1,90.8,2,5.2
124,24,8,3,4,92.6,2,5.8
125,24,9,4,2,102.4,4,5.5
126,24,10,6,1,104.9,3,3.6
127,24,11,1,2,85.9,4,4.6
128,25,1,5,0,,1,3.4
129,25,2,3,0,,0,7.0
130,25,3,4,3,79.9,0,7.3
131,25,4,0,4,92.8,0,5.3
132,25,5,3,4,67.2,4,4.8
133,25,6,0,1,115.1,3,4.8
134,25,7,5,4,92.5,2,7.2
135,25,8,4,4,106.5,1,3.8
136,25,9,2,1,80.1,0,6.8
137,25,10,2,3,89.4,2,5.0
138,26,1,1,2,43.6,0,0.8
139,26,2,1,0,,1,2.1
140,27,1,0,1,28.7,0,3.8
141,27,2,0,1,22.8,0,1.0
142,28,1,3,1,82.4,2,6.9
143,28,2,1,1,84.0,2,6.9
144,28,3,1,0,,0,8.0
145,28,4,5,3,74.5,0,5.6
146,28,5,0,3,69.3,2,3.7
147,28,6,4,2,73.7,3,6.8
148,28,7,4,2,97.3,3,5.9
149,28,8,0,3,94.7,3,5.9
150,28,9,2,3,80.8,1,4.4
151,29,1,3,1,97.6,4,7.8
152,29,2,1,0,,2,7.9
153,29,3,6,1,71.5,1,4.7
154,29,4,1,1,88.6,3,6.0
155,29,5,3,1,109.5,4,5.9
156,30,1,2,4,73.0,2,4.7
157,30,2,0,3,104.5,4,8.8
158,30,3,1,4,77.1,1,4.7
159,30,4,6,2,80.8,3,8.4
160,30,5,6,3,97.5,2,4.7
161,30,6,3,1,99.7,2,3.9
162,31,1,5,4,66.8,4,8.0
163,31,2,1,0,,1,5.6
164,31,3,5,1,77.5,0,2.0
165,31,4,1,1,86.4,3,6.5
166,31,5,4,0,,0,6.3
167,31,6,0,0,,2,3.6
168,31,7,4,1,110.0,3,8.3
169,32,1,2,3,97.1,1,8.3
170,32,2,1,3,76.8,3,2.4
171,32,3,2,2,77.6,3,1.8
172,32,4,3,2,75.3,2,4.3
173,32,5,0,0,,1,5.9
174,32,6,2,2,78.4,3,5.3
175,32,7,3,2,90.3,2,5.4
176,32,8,4,1,83.4,1,2.9
177,32,9,3,3,75.0,3,6.0
178,32,10,3,1,78.9,1,7.4
179,33,1,0,0,,0,3.3
180,33,2,2,0,,0,4.3
181,33,3,0,2,42.5,1,2.5
182,33,4,0,0,,1,1.3
183,34,1,1,2,94.9,3,6.5
184,34,2,6,1,85.5,3,6.3
185,34,3,5,0,,1,3.9
186,34,4,3,0,,4,5.3
187,34,5,3,2,84.1,2,7.8
188,34,6,5,4,103.6,4,7.6
189,35,1,6,3,90.2,4,7.9
190,35,2,1,1,104.2,3,8.3
191,35,3,6,0,,0,7.5
192,35,4,2,1,84.7,1,2.6
193,35,5,3,1,84.8,2,8.3
194,35,6,6,3,89.8,3,5.6
195,35,7,2,1,90.0,3,6.6
196,35,8,4,2,78.8,4,5.4
197,35,9,1,4,80.6,2,8.7
198,35,10,6,4,100.9,0,4.7
199,35,11,4,1,72.4,4,7.2
200,35,12,2,3,104.3,3,6.0
201,35,13,5,1,100.3,2,4.1
202,35,14,6,4,91.1,4,9.2
203,36,1,0,0,,0,1.6
204,36,2,2,1,41.2,1,0.0
205,37,1,6,2,69.0,0,6.7
206,37,2,0,0,,2,4.6
207,37,3,0,1,94.4,1,5.8
208,37,4,4,3,94.5,1,8.3
209,37,5,4,1,78.1,0,5.1
210,37,6,6,4,83.0,3,7.7
211,37,7,0,1,93.3,4,3.6
212,38,1,3,4,96.8,3,5.3
213,38,2,3,3,92.7,2,6.0
214,38,3,4,0,,4,8.8
215,38,4,0,2,105.8,1,6.4
216,38,5,6,2,98.5,4,3.4
217,38,6,4,1,89.1,0,7.8
218,38,7,1,2,92.2,2,7.2
219,38,8,2,2,85.2,0,3.7
220,39,1,4,2,83.2,0,5.1
221,39,2,0,0,,2,2.8
222,39,3,2,3,64.3,1,7.4
223,39,4,5,0,,3,7.7
224,39,5,2,1,85.7,2,4.0
225,39,6,0,3,81.6,3,5.5
226,39,7,0,1,68.6,3,4.9
227,39,8,1,2,91.4,0,2.1
228,39,9,4,3,84.2,2,7.4
229,39,10,5,1,87.7,1,4.1
230,40,1,2,0,,1,1.2
231,40,2,2,2,46.7,0,0.8
232,40,3,2,2,64.1,2,0.3
233,40,4,1,1,74.0,0,4.6
234,40,5,2,0,,2,4.2
235,40,6,0,0,,2,2.8
236,41,1,4,1,77.4,0,2.9
237,41,2,4,0,,2,9.0
238,41,3,1,0,,2,6.9
239,41,4,2,0,,3,8.9
240,41,5,5,0,,0,4.8
241,41,6,6,2,95.1,0,10.0
242,41,7,5,3,92.4,1,8.4
243,41,8,5,0,,2,5.7
244,42,1,2,2,91.7,1,11.5
245,42,2,2,0,,2,5.9
246,42,3,3,0,,4,7.4
247,42,4,2,3,87.8,1,7.7
248,42,5,5,4,95.1,1,3.7
249,43,1,1,0,,0,1.5
250,43,2,1,0,,0,4.4
251,43,3,0,2,63.0,0,3.2
252,43,4,1,1,25.0,1,0.0
253,44,1,0,0,,0,0.9
254,44,2,1,0,,1,5.2
255,44,3,2,2,32.4,1,5.6
256,44,4,1,0,,0,3.0
257,45,1,4,3,78.1,1,2.0
258,45,2,3,3,88.0,3,3.0
259,45,3,5,2,67.1,0,8.6
260,45,4,4,0,,3,1.7
261,45,5,1,3,91.2,0,3.4
262,45,6,5,0,,1,4.8
263,45,7,2,3,78.9,2,6.7
264,45,8,3,1,73.6,0,7.0
265,45,9,5,1,71.7,0,6.3
266,45,10,5,0,,1,6.5
267,46,1,2,1,35.9,1,1.7
268,46,2,2,0,,1,1.8
269,46,3,0,1,37.8,0,2.9
270,46,4,2,0,,1,3.3
271,47,1,0,2,61.0,1,4.2
272,47,2,3,1,75.9,1,1.5
273,47,3,0,0,,2,5.0
