quiz_id,enrollment_id,quiz_name,score,taken_at
1,1,"Quiz 1",69.5,2024-01-07
2,1,"Quiz 2",100.0,2024-01-27
3,1,"Quiz 3",99.3,2023-12-31
4,1,"Quiz 4",91.7,2024-02-04
5,1,"Quiz 5",89.3,2023-12-28
6,2,"Quiz 1",40.8,2024-03-03
7,2,"Quiz 2",38.9,2024-03-24
8,2,"Quiz 3",35.2,2024-03-09
9,3,"Quiz 1",32.0,2024-01-21
10,3,"Quiz 2",56.6,2024-02-12
11,4,"Quiz 1",24.8,2023-07-05
12,4,"Quiz 2",14.5,2023-07-12
13,4,"Quiz 3",21.2,2023-07-03
14,5,"Quiz 1",48.0,2023-09-03
15,5,"Quiz 2",34.9,2023-08-30
16,5,"Quiz 3",44.9,2023-08-27
17,5,"Quiz 4",49.6,2023-09-12
18,5,"Quiz 5",46.6,2023-08-21
19,5,"Quiz 6",32.4,2023-08-21
20,6,"Quiz 1",54.0,2023-09-07
21,6,"Quiz 2",20.8,2023-10-05
22,6,"Quiz 3",31.8,2023-08-22
23,7,"Quiz 1",45.8,2022-12-04
24,7,"Quiz 2",12.0,2022-10-24
25,7,"Quiz 3",45.9,2022-10-21
26,7,"Quiz 4",47.1,2022-12-07
27,7,"Quiz 5",48.4,2022-10-24
28,8,"Quiz 1",40.8,2022-08-21
29,8,"Quiz 2",34.1,2022-10-09
30,8,"Quiz 3",21.9,2022-10-07
31,8,"Quiz 4",25.5,2022-10-02
32,9,"Quiz 1",100.0,2023-11-19
33,9,"Quiz 2",83.1,2023-10-26
34,9,"Quiz 3",70.8,2023-10-23
35,9,"Quiz 4",80.3,2023-11-23
36,9,"Quiz 5",74.9,2023-11-15
37,9,"Quiz 6",100.0,2023-10-08
38,10,"Quiz 1",49.9,2024-01-12
39,10,"Quiz 2",53.8,2024-02-10
40,10,"Quiz 3",49.4,2023-12-24
41,10,"Quiz 4",75.4,2024-01-03
42,10,"Quiz 5",44.8,2024-02-14
43,11,"Quiz 1",100.0,2023-12-09
44,11,"Quiz 2",83.6,2023-11-22
45,11,"Quiz 3",82.4,2023-11-24
46,11,"Quiz 4",100.0,2023-11-29
47,11,"Quiz 5",89.2,2023-12-04
48,12,"Quiz 1",73.4,2022-07-26
49,12,"Quiz 2",59.3,2022-07-28
50,12,"Quiz 3",52.2,2022-07-24
51,13,"Quiz 1",81.0,2022-07-28
52,13,"Quiz 2",85.3,2022-07-11
53,14,"Quiz 1",15.0,2022-06-25
54,14,"Quiz 2",0.0,2022-07-08
55,15,"Quiz 1",100.0,2022-12-18
56,15,"Quiz 2",83.3,2022-11-14
57,15,"Quiz 3",81.2,2022-12-24
58,16,"Quiz 1",85.3,2023-01-24
59,16,"Quiz 2",72.6,2023-02-07
60,16,"Quiz 3",82.0,2023-01-28
61,16,"Quiz 4",100.0,2023-04-01
62,17,"Quiz 1",10.7,2023-03-31
63,17,"Quiz 2",30.5,2023-04-06
64,17,"Quiz 3",39.0,2023-04-02
65,18,"Quiz 1",23.0,2022-04-11
66,18,"Quiz 2",24.3,2022-04-22
67,18,"Quiz 3",26.0,2022-04-10
68,18,"Quiz 4",46.9,2022-04-28
69,19,"Quiz 1",93.2,2024-01-04
70,19,"Quiz 2",82.0,2024-01-01
71,19,"Quiz 3",91.2,2023-12-12
72,20,"Quiz 1",90.6,2023-12-27
73,20,"Quiz 2",83.8,2024-02-26
74,21,"Quiz 1",63.3,2023-02-27
75,21,"Quiz 2",40.5,2023-02-12
76,22,"Quiz 1",15.4,2023-01-31
77,22,"Quiz 2",32.2,2023-03-22
78,22,"Quiz 3",44.9,2023-03-23
79,22,"Quiz 4",39.6,2023-04-07
80,23,"Quiz 1",63.4,2022-12-11
81,23,"Quiz 2",67.4,2022-12-28
82,24,"Quiz 1",83.9,2024-04-08
83,24,"Quiz 2",76.5,2024-02-12
84,24,"Quiz 3",100.0,2024-02-10
85,24,"Quiz 4",86.8,2024-02-15
86,25,"Quiz 1",76.3,2023-02-06
87,25,"Quiz 2",100.0,2022-12-13
88,25,"Quiz 3",88.8,2023-01-07
89,26,"Quiz 1",49.6,2022-08-10
90,26,"Quiz 2",29.0,2022-08-06
91,26,"Quiz 3",24.5,2022-08-03
92,26,"Quiz 4",35.6,2022-08-11
93,26,"Quiz 5",32.9,2022-07-14
94,26,"Quiz 6",20.3,2022-08-12
95,27,"Quiz 1",33.1,2022-08-21
96,27,"Quiz 2",14.2,2022-09-21
97,27,"Quiz 3",18.8,2022-09-26
98,27,"Quiz 4",24.4,2022-09-04
99,28,"Quiz 1",80.1,2022-10-23
100,28,"Quiz 2",77.9,2022-09-21
101,28,"Quiz 3",79.9,2022-10-13
102,28,"Quiz 4",69.2,2022-09-28
103,28,"Quiz 5",73.3,2022-09-18
104,28,"Quiz 6",70.1,2022-10-25
105,29,"Quiz 1",83.1,2024-02-10
106,29,"Quiz 2",66.3,2024-02-07
107,29,"Quiz 3",72.6,2024-02-16
108,29,"Quiz 4",81.1,2024-01-28
109,29,"Quiz 5",85.5,2024-02-07
110,29,"Quiz 6",83.1,2024-02-21
111,30,"Quiz 1",76.4,2024-03-07
112,30,"Quiz 2",75.5,2024-03-08
113,30,"Quiz 3",91.5,2024-03-23
114,30,"Quiz 4",94.4,2024-04-13
115,30,"Quiz 5",84.6,2024-04-13
116,31,"Quiz 1",89.5,2024-02-15
117,31,"Quiz 2",100.0,2024-02-27
118,31,"Quiz 3",97.3,2024-01-28
119,31,"Quiz 4",97.5,2024-01-19
120,32,"Quiz 1",78.8,2023-10-24
121,32,"Quiz 2",50.2,2023-10-26
122,32,"Quiz 3",67.6,2023-10-24
123,32,"Quiz 4",64.5,2023-11-11
124,32,"Quiz 5",78.1,2023-10-07
125,32,"Quiz 6",80.6,2023-10-27
126,33,"Quiz 1",33.9,2023-05-17
127,33,"Quiz 2",48.2,2023-05-01
128,33,"Quiz 3",18.9,2023-04-26
129,34,"Quiz 1",96.5,2022-10-17
130,34,"Quiz 2",84.5,2022-10-18
131,34,"Quiz 3",90.0,2022-10-12
132,34,"Quiz 4",88.1,2022-10-05
133,35,"Quiz 1",93.7,2024-01-11
134,35,"Quiz 2",100.0,2023-11-21
135,35,"Quiz 3",79.0,2024-01-23
136,35,"Quiz 4",80.1,2023-12-13
137,35,"Quiz 5",98.2,2023-11-10
138,36,"Quiz 1",33.4,2023-10-24
139,36,"Quiz 2",25.4,2023-10-25
140,36,"Quiz 3",48.6,2023-10-23
141,36,"Quiz 4",43.8,2023-11-07
142,37,"Quiz 1",78.9,2023-10-26
143,37,"Quiz 2",74.6,2023-10-16
144,37,"Quiz 3",100.0,2023-10-23
145,37,"Quiz 4",76.5,2023-10-08
146,38,"Quiz 1",80.3,2023-01-27
147,38,"Quiz 2",96.4,2023-01-11
148,38,"Quiz 3",92.0,2022-12-23
149,39,"Quiz 1",79.4,2023-04-23
150,39,"Quiz 2",83.9,2023-04-17
151,39,"Quiz 3",94.1,2023-03-12
152,39,"Quiz 4",78.9,2023-04-05
153,39,"Quiz 5",87.9,2023-03-22
154,40,"Quiz 1",67.4,2022-11-27
155,40,"Quiz 2",36.0,2023-01-08
156,40,"Quiz 3",50.3,2023-01-22
157,41,"Quiz 1",96.9,2022-04-20
158,41,"Quiz 2",76.0,2022-04-21
159,41,"Quiz 3",73.7,2022-05-24
160,41,"Quiz 4",86.9,2022-04-10
161,41,"Quiz 5",100.0,2022-04-28
162,42,"Quiz 1",94.8,2022-05-13
163,42,"Quiz 2",96.0,2022-05-28
164,42,"Quiz 3",81.2,2022-05-02
165,42,"Quiz 4",88.8,2022-05-28
166,42,"Quiz 5",93.3,2022-05-06
167,43,"Quiz 1",51.0,2022-06-30
168,43,"Quiz 2",42.2,2022-07-04
169,43,"Quiz 3",35.6,2022-06-14
170,43,"Quiz 4",42.5,2022-07-15
171,44,"Quiz 1",44.7,2022-07-27
172,44,"Quiz 2",40.3,2022-07-15
173,45,"Quiz 1",54.8,2023-08-04
174,45,"Quiz 2",74.3,2023-07-21
175,45,"Quiz 3",89.2,2023-08-09
176,45,"Quiz 4",58.1,2023-08-12
177,45,"Quiz 5",89.9,2023-09-14
178,45,"Quiz 6",91.6,2023-08-07
179,46,"Quiz 1",26.8,2023-11-21
180,46,"Quiz 2",53.4,2023-10-31
181,46,"Quiz 3",30.1,2023-10-11
182,46,"Quiz 4",30.0,2023-10-20
183,47,"Quiz 1",47.6,2023-02-14
184,47,"Quiz 2",48.3,2023-01-25
185,47,"Quiz 3",65.3,2023-02-08
186,47,"Quiz 4",60.8,2023-01-30
187,48,"Quiz 1",84.5,2022-07-02
188,48,"Quiz 2",100.0,2022-07-03
189,48,"Quiz 3",92.6,2022-06-26
190,49,"Quiz 1",16.0,2023-01-04
191,49,"Quiz 2",21.4,2022-12-13
192,49,"Quiz 3",9.3,2023-01-10
193,49,"Quiz 4",24.4,2022-12-14
194,49,"Quiz 5",33.2,2022-12-02
195,50,"Quiz 1",42.5,2023-09-17
196,50,"Quiz 2",18.6,2023-08-23
197,50,"Quiz 3",31.7,2023-09-28
198,50,"Quiz 4",32.0,2023-09-21
199,51,"Quiz 1",100.0,2023-06-04
200,51,"Quiz 2",85.3,2023-06-30
201,51,"Quiz 3",80.9,2023-06-01
